feature,mean,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6
featureagglomeration2,0.2825479634493658,0.27589483130998566,0.2652125340491,0.2796785233958618,0.2850856912308546,0.29306729030143636,0.29634891040895633
featureagglomeration7,0.04263422937189687,0.03299923213124212,0.021432902510539236,0.03736699628437377,0.10181515169699826,0.03780867372572451,0.02438241988250335
featureagglomeration11,0.026564503032402247,0.05568057448726304,0.03388511648159555,0.006882138629599573,0.008762019131042563,0.014413950493950485,0.03976321897096226
featureagglomeration12,0.020553186553807713,0.005384754469410005,0.006047568476806755,0.05517008975754361,0.005821704013381925,0.006805655983195056,0.04408934662250892
featureagglomeration1,0.019764998871450695,0.014196821739786937,0.007879247194566808,0.035362168936387675,0.012396809388528144,0.01831134004154778,0.03044360592788684
featureagglomeration10,0.01941340173968103,0.02116507620765966,0.016545087107888948,0.023355731552879986,0.025120141628678556,0.023480577212533882,0.006813796728445153
featureagglomeration0,0.01696183145815455,0.0107821326886366,0.02991564830273101,0.013445901875901894,0.013723828688672439,0.02251337282903335,0.011390104363952002
featureagglomeration9,0.016932735477862126,0.0104696347257409,0.034172289365004195,0.019640555590571557,0.007589780712632275,0.015030774137478668,0.014693378335745168
featureagglomeration5,0.015946629655362785,0.0032864349409271326,0.020569091071688726,0.0068062275094697006,0.019284684916501316,0.027086198026641927,0.018647141466947906
featureagglomeration4,0.014241872906922621,0.021605942277550944,0.005487071142110208,0.027617866587129725,0.01480010303932179,0.014883315813171982,0.0010569385822510797
featureagglomeration8,0.013862842526156329,0.021913902922624514,0.009753187830687833,0.014257138601415954,0.010239254254071364,0.015594319478264803,0.011419252069873514
featureagglomeration14,0.008705393418321026,0.007852608059422705,0.014191456177647572,0.006222892156310114,0.013269904126281942,0.005835734690656549,0.00485976529960727
featureagglomeration3,0.007882511020650228,0.015372756226701548,0.0031673622854286906,0.009689694602272739,0.004855549288542899,0.010050376661296405,0.004159327059659084
featureagglomeration6,0.0075521754049012,0.010220430185410653,0.004294511258417512,0.010167923711718098,0.007130100888234777,0.008916835404836114,0.004583250980790041
featureagglomeration13,0.005634461898931588,0.002523144620925148,0.012469374098124084,0.0026212458570075803,0.009817060699322753,0.002796995010986484,0.0035789511072234774
