feature,mean,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12
F1-carry,0.18852838644697614,0.20873153079101495,0.19543111431715618,0.2057395055958005,0.1651249372046676,0.2004124864840879,0.17347164416004535,0.15498562945629632,0.20641235482859824,0.1756869714045104,0.18115063573694187,0.21765686864560477,0.17753695873898948
F1-water,0.11847242586330946,0.09541905917591186,0.09673140152724939,0.116836321688226,0.15792437740428802,0.056622755634569796,0.08442536697893321,0.1611236849774829,0.10460325978093428,0.1664263509033203,0.10890770157366082,0.10599234618363544,0.16665648453150145
F1-all,0.10282957419668365,0.07863198508136267,0.12440993938474179,0.12979456797055092,0.1026814007711314,0.12074049508454814,0.09997497735774678,0.08606544631236537,0.12057590816028811,0.08431060826989543,0.10860990654161047,0.09257031067881577,0.08558934474714705
F2-all,0.05766796383198341,0.06688944172012239,0.05963320147192774,0.06239727462706732,0.07634062359504254,0.032777836714565266,0.05922526743692757,0.040297181673289155,0.04653345365909462,0.06064654777570653,0.07535361213136861,0.04763080086905678,0.0642903243096323
F2-water,0.03723879410781569,0.03306629165272682,0.03546526909502262,0.0265534328208831,0.05938982424320764,0.0113365296241795,0.036228951940429945,0.04468256068992182,0.030912139244665383,0.05758642207709182,0.04029445416596862,0.02669260169166005,0.04465705204803097
F1-had,0.032958280117232064,0.04963532728580753,0.0393236836429158,0.02305065842791602,0.032424058296049656,0.03920773726445528,0.04024388423325119,0.031937994273581995,0.030109352984016846,0.01763001870692098,0.03518474949963623,0.033728991352179105,0.02302290544005406
F1-that,0.02445453278094103,0.02121230900441503,0.028130839866474043,0.02302393482182623,0.027084744082692284,0.03267106463269013,0.028842251993391462,0.030750283578437752,0.02161556040527799,0.012233176971116052,0.015110077058231227,0.03847478357808564,0.014305367378654524
F2-an,0.023670343086673377,0.025767566272871415,0.026916844367437628,0.018064722788488825,0.007684023055276015,0.04892427092797056,0.034800391588066464,0.029652476728256466,0.009419749170778886,0.016553814540285216,0.027043829123207484,0.019815192606631695,0.019401235870809896
F2-dark,0.022242991960546115,0.030702601198886265,0.03568405599026334,0.013926928409383423,0.03165455413263946,0.01367168493206039,0.024486871784145253,0.022235503279318402,0.012105176332889959,0.0241869096283159,0.019556889099358838,0.0261392011015386,0.012565527637753513
F1-wash,0.021145081238403186,0.019557600123249533,0.015969447753928105,0.026684194682528632,0.022515321131902997,0.01337237743135015,0.022342503241293138,0.02605362484553359,0.019719530122832805,0.013981783657984147,0.019562922433282556,0.023578413205085812,0.030403256231866793
