feature,mean,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12
F1-carry,0.1250541520475153,0.13884137603846086,0.08712906491283799,0.12138941449811401,0.11497049894173353,0.10402263427530205,0.15528030059175102,0.11285429521107099,0.13803897474298443,0.14869523986919647,0.09154286747099676,0.1329055551952718,0.15497960282246356
F1-water,0.08738199825954425,0.078835736278535,0.1307649775889515,0.06915766339696393,0.06443808829377179,0.08910943879898214,0.0811327309803421,0.06805003670656647,0.11443254700081186,0.04473388052888407,0.12833595727924532,0.08136309864211962,0.09822982361935727
F1-all,0.058697622757517574,0.0704733187320791,0.059102104720324865,0.060026440684243336,0.045214913480361885,0.07018647822911095,0.05638444274219617,0.11690042246868892,0.04520274496469359,0.05191608889993304,0.0497420539663484,0.021112083340460105,0.05811038086177041
F2-all,0.05405552864583082,0.036867317845487524,0.03765792003015356,0.07260076995284152,0.061499729799110725,0.07109623752175467,0.049001271418208384,0.06066864501029566,0.05193193180603279,0.0977941613771257,0.023638431920553784,0.0414076332841692,0.04450229378423621
F2-water,0.038889628068022965,0.039691557010270696,0.0395970839180429,0.02876264049621652,0.03875011466377079,0.05327843392567704,0.03972291161158148,0.022115181780129313,0.030277262555212334,0.023958186418591428,0.030473841203729958,0.07749356748890461,0.042554755744148416
F1-had,0.03308422886711407,0.041734722859049896,0.018770512301129534,0.019436836099706135,0.03218003874049012,0.02375347876819371,0.017284682694231494,0.04286064137934758,0.04031644197803143,0.04684914378371066,0.06660896261057725,0.031426554030136035,0.01578873116076496
F2-an,0.031127140204627094,0.05699045432708699,0.022925021180739583,0.03189575499189261,0.03501256872514997,0.0339249990471313,0.01164029708398048,0.02120724983047384,0.025964552913174323,0.02714738504613801,0.06619481305416372,0.029728652506941917,0.010893933748652405
F2-had,0.024620432710688894,0.03348709273366856,0.028750394251966734,0.01576715488294971,0.038606522522791564,0.0259390857951525,0.018210622481092335,0.01079352888126084,0.030205366520103288,0.01662185522580442,0.029468179794116967,0.04025869849465075,0.00733669094470909
F2-dark,0.024561816740687917,0.016369467838687438,0.021534660591524625,0.02249543227078564,0.016869862473434406,0.031935521464040134,0.0538478349092511,0.01576736967246738,0.016604967535558526,0.03774471849225733,0.0135514599603967,0.0249661333297135,0.02305437235013825
F1-that,0.02379930825153617,0.026478966080677745,0.009808130050822334,0.017011750934916074,0.0242144911541013,0.029402629802690868,0.023824777136822847,0.04248070311151659,0.016305619098965215,0.017532973858906096,0.01812875207444319,0.03089412229125406,0.029508783423317683
F2-carry,0.02161278396922593,0.016258642315412127,0.06038044447437156,0.020871288696596078,0.010933934113723377,0.010657705628332823,0.01713133408793249,0.023785897833386575,0.024349176418883324,0.022783687130818082,0.016007283409985074,0.009646396581232486,0.026547616940037152
F1-wash,0.021534280598480292,0.03315433040923449,0.02299666736550592,0.033396484679212406,0.01884304264900544,0.019134037032537746,0.024704004501893674,0.013803269675148683,0.01954391638193183,0.013863123908817259,0.014641880934578069,0.02168801028560233,0.02264259935829565
F1-ask,0.021151688100011515,0.015491685156820516,0.030203819724435664,0.02000113232228665,0.013118717948118247,0.023465901702506908,0.03666582529126523,0.019550520041002422,0.015276387317146605,0.023555701934117004,0.014274633727643602,0.02196205470809795,0.020253877326697402
F1-to,0.02031599841843359,0.012115940574460806,0.014191914313030877,0.0273363568074886,0.03944731675883613,0.015653187116238663,0.011625196731679747,0.025057584350103038,0.02117277061001767,0.028248367373427275,0.01861131330166794,0.011354639991749625,0.018977393092502754
F2-like,0.019486420030380792,0.008444063520953692,0.016778085616385646,0.01841918030141409,0.014320880786332344,0.019919165401065943,0.03639666097135334,0.0208883585780724,0.011687396852682375,0.013918448367511936,0.02791947201446884,0.023895566753229534,0.02124976120109934
F1-oily,0.01845003089493538,0.026010464811084953,0.0176399182586535,0.03330518424508866,0.013569910143482378,0.02288367861390123,0.009269854669774525,0.01720752451004584,0.013678608628775395,0.015957003522177122,0.02191732948187724,0.009313357943192822,0.02064753591117082
F1-me,0.017525241348955924,0.023964407703298676,0.01199926035552888,0.011890990568489308,0.05473717119854865,0.019667865911427388,0.006239417644035793,0.009378843604096956,0.01066829834666621,0.016729410145193736,0.022463705560604133,0.01370248287012798,0.008861042279453373
F1-your,0.01718515556649989,0.018131942442583683,0.021036065371275895,0.02264121753966335,0.020566389576103527,0.010699622468760247,0.015306864806057054,0.02593658436483622,0.013770986239653196,0.017081199096738938,0.014655530527974178,0.010062409529230773,0.016333054835121628
F1-year,0.01679557327687872,0.033854623221421604,0.010058550066312389,0.017398800379379964,0.02055181505240182,0.012840101235882206,0.01366847953395906,0.011942812973148078,0.014284320392676098,0.014341385915838915,0.017384729257503572,0.016263739676989526,0.01895752161703139
F2-year,0.01670428489859981,0.022106854885157557,0.011644414467614796,0.011105235745801323,0.014305730485701934,0.008183562715720747,0.012695204326665958,0.011322630845593056,0.016418522647808485,0.013986971655799317,0.00856473304901913,0.03264106373681377,0.03747649422150161
F1-don't,0.01639604669014066,0.011674048557083238,0.010003409091421151,0.01795981852963904,0.019791051342622747,0.015670573736961256,0.016889236374490996,0.020509943778075117,0.009209983753142182,0.015155709580002072,0.024059872285186187,0.011063638832758375,0.024765274420305565
F2-wash,0.01633126064824158,0.021302522045032322,0.01820641674021005,0.010843273755910305,0.0072375224847039754,0.01626687119511532,0.005145747584391968,0.017654192039945005,0.033548565450693645,0.008445602586688585,0.014756007406534898,0.018871338544138926,0.023697067945533935
F2-don't,0.016109265365819792,0.016791529646537778,0.014593929265880785,0.014024918790681221,0.012463355985105576,0.020064139399723208,0.013772176578102925,0.01731341093777781,0.023409738630624757,0.018004537072565937,0.017771415525911903,0.010931426034296777,0.01417060652262882
F1-rag,0.01583053678572791,0.015617506635895926,0.01850967165335988,0.0030925846663148503,0.011545775756193626,0.015412670290638359,0.025095880838921794,0.01186010364232483,0.015568407399836021,0.02565696253621864,0.01248618438333215,0.013954677029084142,0.021166016596614653
F2-in,0.015508670779814533,0.012091887644651958,0.02361483621720136,0.012467707700357036,0.014786854791742944,0.02076009853081337,0.011645971949975208,0.012522256376101512,0.011385831142558122,0.012760242689883938,0.024505081411252707,0.01018555918898225,0.01937772171425398
F2-suit,0.015288112471832425,0.007358063657260601,0.024279636931932552,0.028132121872131526,0.02706522402234712,0.005709059205028229,0.013433087698420046,0.013218767298493453,0.013076158893941843,0.009668455047265687,0.01978379467323147,0.017194346540403613,0.0045386338215329565
F2-to,0.015128572333043662,0.013048998780176995,0.027897274745972863,0.013897214853795147,0.009066236360444357,0.012627250396197689,0.01517943589424123,0.022507692646751263,0.020340916364986694,0.010866870465169718,0.007366338719199557,0.011430896096213039,0.017313742673375397
F2-your,0.015020008185044571,0.019174120381852292,0.009949041477975403,0.023831507651584285,0.008955932840434042,0.01627336221737701,0.01822101526603767,0.0110712930578435,0.01668540782013368,0.0144264877423756,0.028169502944087245,0.008504503107693856,0.0049779237131403
F2-greasy,0.014354349085917257,0.007613178871470236,0.010101473766284197,0.015789282128498217,0.013048369707517781,0.010760243117420843,0.017922956453083286,0.016155549079367285,0.013871015598091627,0.030796865009248955,0.015520861913476604,0.008023174975342107,0.012649218411205941
