feature,mean,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6
F1-slabs,3.614007241618348e-20,-0.0015151515151515138,-0.0015151515151515138,0.004545454545454542,0.0,0.0,-0.0015151515151515138
F2-into,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-kids,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-the,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-kids,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-maybe,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-go,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-need,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-of,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-peas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-red,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-she,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-for,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-need,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-cheese,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-snake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-brother,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-bring,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-the,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-blue,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-big,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-three,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-toy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-train,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-we,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-fresh,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-a,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-of,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-scoop,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-will,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-we,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-toy,0.0,0.0,0.0,0.0,0.0030303030303030277,0.0,-0.0030303030303030277
F2-blue,0.0,-0.004545454545454542,0.004545454545454542,0.0,0.004545454545454542,0.0,-0.004545454545454542
F1-red,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-call,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-spoons,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-station,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-she,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-ask,-0.00025252525252525225,-0.0015151515151515138,-0.004545454545454542,0.0,0.004545454545454542,0.0,0.0
F1-snake,-0.0002525252525252523,0.0,0.0,0.0,0.0,0.0,-0.0015151515151515138
F1-five,-0.0002525252525252523,0.0,0.0,0.0,0.0,0.0,-0.0015151515151515138
F2-these,-0.0002525252525252523,0.0,0.0,0.0,0.0,0.0,-0.0015151515151515138
F1-can,-0.0002525252525252523,0.0,0.0,0.0,0.0,0.0,-0.0015151515151515138
F1-store,-0.0002525252525252523,0.0,0.0,0.0,0.0,0.0,-0.0015151515151515138
F2-also,-0.0002525252525252523,0.0,0.0,0.0,0.0,0.0,-0.0015151515151515138
F1-peas,-0.0002525252525252523,-0.0015151515151515138,0.0,0.0,0.0,0.0,0.0
F2-store,-0.0005050505050505046,0.0,0.0,0.0,0.0,0.0,-0.0030303030303030277
F2-big,-0.0005050505050505046,0.0,0.0,0.0,0.0,0.0,-0.0030303030303030277
F1-snack,-0.0005050505050505046,-0.0030303030303030277,0.0,0.0,0.0,0.0,0.0
F1-thick,-0.0005050505050505047,0.0,-0.004545454545454542,0.0,0.0,0.0,0.0015151515151515138
F2-bags,-0.0005050505050505047,-0.006060606060606055,0.010606060606060596,0.0,-0.004545454545454542,0.0,-0.0030303030303030277
F2-at,-0.0005050505050505047,-0.004545454545454542,0.0015151515151515138,0.0,0.0,0.0,0.0
F1-meet,-0.0007575757575757569,-0.0030303030303030277,0.0,0.0,0.0,0.0,-0.0015151515151515138
F1-wednesday,-0.0007575757575757569,-0.0030303030303030277,0.0015151515151515138,0.0,0.0,0.0,-0.0030303030303030277
F2-go,-0.0007575757575757569,-0.0030303030303030277,-0.006060606060606055,0.006060606060606055,0.0,0.0,-0.0015151515151515138
F2-will,-0.0007575757575757569,-0.0030303030303030277,0.0,0.0,0.0015151515151515138,0.0,-0.0030303030303030277
F1-with,-0.0007575757575757569,-0.0015151515151515138,0.0,0.0,0.0,0.0,-0.0030303030303030277
F2-station,-0.0010101010101010092,-0.004545454545454542,0.0,0.0,0.0,0.0,-0.0015151515151515138
F1-bags,-0.0010101010101010092,-0.004545454545454542,0.0,0.0,0.0,0.0,-0.0015151515151515138
F1-her,-0.0010101010101010092,0.0,0.0015151515151515138,0.0,0.0,0.0,-0.007575757575757569
F2-cheese,-0.0010101010101010092,0.0,0.0,0.0,-0.006060606060606055,0.0,0.0
F1-frog,-0.0012626262626262614,-0.0030303030303030277,0.006060606060606055,0.004545454545454542,-0.0030303030303030277,-0.007575757575757569,-0.004545454545454542
F1-plastic,-0.0012626262626262614,0.0,-0.004545454545454542,0.0,0.0,0.0,-0.0030303030303030277
F1-fresh,-0.0012626262626262614,0.0,-0.006060606060606055,0.0,0.0,0.0,-0.0015151515151515138
F2-spoons,-0.0015151515151515138,-0.004545454545454542,0.0015151515151515138,0.0,0.0,0.0,-0.006060606060606055
