feature,mean,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6
F1-these,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-the,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-store,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-stella,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-station,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-spoons,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-snake,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-snack,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-small,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-slabs,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-six,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-she,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-scoop,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F1-red,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F2-with,0.0,0.0,0.0,0.0,0.0,0.0,0.0
