feature,mean,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6,iteration_7,iteration_8,iteration_9,iteration_10,iteration_11,iteration_12
F1-water,1.4671550383608682,1.4914531624368912,1.4267051097287757,1.4508566577385569,1.6815953063319047,1.5595582332908535,1.2291133541401555,1.3741378572963812,1.6023332603550207,1.3012672098048645,1.5892647156404123,1.3433923344109744,1.5561832591556277
F1-all,1.0120834673908765,1.0428479796117605,0.9920167524170533,1.2328267845348382,0.975060669370873,1.0871605690994417,0.9104726225167739,1.1357101823139975,1.1003848272399859,0.8642323981603404,0.722497457449858,1.0237786085277911,1.0580127574478075
F2-carry,0.5983113420441607,0.7140465306814284,0.6999659465062397,0.44567316051233735,0.8634757505316789,0.5916118875771512,0.8345240827903205,0.39922158701579136,0.45310854774991527,0.8184766211684186,0.31080160024407405,0.7338473803013708,0.31498300945120195
F2-dark,0.5676140488263467,0.6565039920516428,0.539511150867041,0.49849149943055343,0.6605539561407704,0.6214632798121739,0.7154495072249133,0.1310897907811129,0.5489121495622201,0.35829011713168013,0.988404811159089,0.47766961373894573,0.6150287180160185
F2-had,0.47642533597745057,0.27181319535895543,0.7737455705551012,0.5108014903802843,0.32050583507431474,0.09775578463986814,0.4052768602889936,0.3234917926589968,0.6068535118625477,0.7230763255489603,0.863035982525849,0.28316057908366815,0.5375871037518671
F2-that,0.38263551684196334,0.3378113445537209,0.03548980239092963,0.37353898209082675,0.31880693175039443,0.30417615123527086,0.5091144000026424,0.4114795368158989,0.7565781694505399,0.47580621680525165,0.2205041671043055,0.3318954269550847,0.5164250729486953
F1-dark,0.2348706207207414,0.2149584352568675,0.8018407182123074,0.10366751757779609,0.31958723771018316,0.2660108835743721,0.0022038094925896285,0.044352178136008204,0.5758261041816037,-0.006028734003595131,0.27348838122243224,0.16740219891464014,0.05513871837369221
F2-all,0.2294381930759859,0.2654163574528051,0.1915584502858993,0.28038520784054816,0.2926655992529769,0.19449785892023086,0.20806770367580257,0.0855916469738877,0.20049679464242498,0.18274554021232312,0.29693271897034706,0.28109365643883316,0.2738067822457515
F2-oily,0.21073019409644844,0.24936187059893228,0.1250997104791215,0.00486847409569042,0.3746251773315642,0.3351374820222167,0.12416769825426824,0.27061502390006803,0.05677358936649026,0.3445979346061344,0.23450108435872022,0.05612439569144816,0.3528898884527268
F1-suit,0.19071828578649544,0.24105117304185136,0.11131097542092762,0.7685638142400543,0.18106045361489811,0.037393882520083674,0.17717768528855476,0.10247791843497497,0.2047313596939978,-0.04941746932206232,0.4670655224013469,0.08576001077703906,-0.0385558966737203
F1-greasy,0.1621414183000321,0.14426274513968163,0.11058618785609271,0.17686192007744517,0.11720275714670499,0.25661629692181365,0.21276756620120746,0.1946594790517849,0.09041466360011474,0.13437093098168051,0.09321177913652769,0.2411274411646083,0.17361525232272343
F1-oily,0.11608400906916917,0.48362263364146013,-0.13634578652501314,0.05184721858314336,-0.13340558571094044,0.1748229222954279,0.4993953929992067,0.23575885843710273,-0.08320430171074808,0.1569922997146712,0.24381339591695878,0.1163640062016141,-0.21665294501285332
