feature,mean,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6
F2-ask,0.06825427255393263,0.06978267001963522,0.07590857732726301,0.05449332815487745,0.06120861433160236,0.06689195784607077,0.08124048764414692
F1-also,0.05925442568138326,0.06366109218741021,0.05284725855399386,0.05354090115353973,0.07519789589853175,0.059985977781177056,0.050293428513646966
F2-bob,0.05625083938855857,0.04782048819202008,0.0715491769128425,0.06197282404772576,0.06579207923202905,0.05604113262393016,0.034329335322803856
F1-call,0.05580751226705232,0.0422080569468433,0.042859644425827306,0.08525104262711761,0.06207786089656805,0.059932721703647385,0.04251574700231028
F2-and,0.04855284233824808,0.04210994725893364,0.05837919217802506,0.0619018598947326,0.04637107625788257,0.037323212238777194,0.045231766201137426
F1-bob,0.03472606031389152,0.02157116434429168,0.04781380630482223,0.018065744095302868,0.03632667698709451,0.04714744411431696,0.037431526037520896
F2-bags,0.032431493558441715,0.025648291154854768,0.029128277959557403,0.030805305886173594,0.044487866855805566,0.016684816097785132,0.04783440339647384
F1-frog,0.024878137008745544,0.019878284241243785,0.020284913871412513,0.03687272021161158,0.013431661407005892,0.03612660170604068,0.02267464061515884
F2-snack,0.02410679218100732,0.011431435476918097,0.02191522557845591,0.030825151660050624,0.016479814787705088,0.018188808146648822,0.045800317436265364
F1-small,0.0212643452724732,0.030745093105401616,0.013055953237309612,0.018948169478747796,0.02074018080226353,0.020959639745407776,0.02313703526570887
F2-slabs,0.018132271946361838,0.023090853172707218,0.017399784505943042,0.023599294358845363,0.01717532303140762,0.0050147002683104324,0.022513676340957352
F2-blue,0.017037587212227163,0.036507441550240695,0.014983579527558449,0.012464943241215658,0.008398089403810042,0.005854770629781756,0.0240166989207564
F2-to,0.01640213602414111,0.01820894445422614,0.014820610829071467,0.007061510087393717,0.017169776008329703,0.01885407378024598,0.02229790098557965
F2-stella,0.01084778618360755,0.011179951222014808,0.0017852340237222908,0.006135504423436408,0.010896745606591682,0.022999041656849697,0.012090240169030406
F1-bags,0.01040288780404429,0.014630394838941114,0.013445111283382468,0.005316331735919312,0.010631640893766734,0.009472817977174731,0.008921030095081384
F2-small,0.009911920850580225,0.012710880332081021,0.010517192125171842,0.006950772621186127,0.010738123350810848,0.013033795628735634,0.005520761045495877
F2-maybe,0.009626385030916828,0.009296892540211994,0.011337238434226427,0.009957324757365766,0.00655367394100266,0.0068370725791521945,0.013776107933541937
F2-we,0.009592899981423788,0.00042024596515688857,0.007114058141427824,0.009025788280135574,0.002554543186927538,0.0065104773833636245,0.03193228693153128
F2-go,0.00917555889259064,0.01397615058755512,0.005491873100213417,0.009169807637101996,0.013646162952466267,0.006651874917744894,0.006117484160462146
F1-and,0.009131680323083981,0.003269265350632754,0.010620780147572744,0.0068837857842656966,0.008943165128981804,0.007196779044794296,0.0178763064822566
F2-frog,0.00898099864725055,0.0052137157206458345,0.013011149172934952,0.006369222381901327,0.004091526828557463,0.017226028155618828,0.0079743496238449
F1-slabs,0.008735879311053506,0.012043417451181657,0.021316343112162173,0.0021453385720917074,0.008230794064371163,0.004442353245781775,0.004237029420732563
F2-plastic,0.008545545971444362,0.01325160657490048,0.008250247576978615,0.00919206926563062,0.004057797963900946,0.0034137697141160372,0.01310778473313948
F2-her,0.008370285838341212,0.006163358854134211,0.011534473975618922,0.014382351836601082,0.009832691217521589,0.006231949508733814,0.002076889637437655
F2-five,0.00820511539791972,0.009353868404031051,0.006702214655185743,0.005721640625157081,0.003473136855633834,0.012734524604455972,0.011245307243054644
F2-three,0.008157222109932378,0.007470187112985561,0.010812067472847608,0.002692979994045622,0.00427189465011131,0.017112029994174067,0.0065841734354300996
F1-brother,0.008111916430451492,0.004893607963151578,0.003913503435592356,0.014015616809020547,0.006782438246360863,0.008331275834197262,0.010735056294386347
F2-scoop,0.008003784548100214,0.012710390454222426,0.004629401704288634,0.005177816551938865,0.009359401822665274,0.005272332086095903,0.010873364669390184
F1-snake,0.007998400638020724,0.002565920624340896,0.004594131697895906,0.006579172407628703,0.0071830072540316255,0.011573958955335003,0.015494212888892214
F1-maybe,0.007950183529238434,0.0057068192974696575,0.0074169114105638225,0.008570159612695452,0.013075694201519402,0.007896389347677273,0.005035127305504996
F1-five,0.00754577547196138,0.0038850628279669544,0.005460725574895739,0.009026469106393709,0.015900872199789307,0.004578996250387553,0.006422526872335016
F2-with,0.007238943214386183,0.008077195672948352,0.003024361607640088,0.0063773080818673765,0.004775459284647619,0.014156915602329474,0.007022419036884189
F2-at,0.007204968254051809,0.009918582359091908,0.0076482032588831295,0.00981759360311841,0.00858738722091594,0.003301884311903752,0.003956158770397714
F2-wednesday,0.007040006736208364,0.010992350348896415,0.0069725157060339295,0.002422996222048378,0.005224441187611327,0.01618750085707218,0.00044023609558795036
