feature,mean,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6
F1-also,0.00480180593816957,0.001756198347107437,0.0008494031221303941,0.006737832874196503,0.009515610651974276,0.00552112029384756,0.004430670339761247
F2-and,0.004352234465870827,0.0018365472910927456,0.00035583103764921906,0.0030876951331496776,0.009848484848484843,0.006382001836547287,0.004602846648301187
F2-ask,0.004289103152739512,0.0018480257116620744,0.0037534435261707944,0.0009986225895316798,0.008379247015610642,0.005348943985307615,0.005406336088154264
F2-her,0.003923706764615853,0.006129476584022034,0.008092286501377407,0.00012626262626262618,8.034894398530755e-05,0.006485307621671255,0.0026285583103764906
F2-fresh,0.003688399142944594,0.0075757575757575656,0.00525711662075298,0.001446280991735536,0.0021005509641873277,0.0023301193755739203,0.003420569329660236
F1-toy,0.003543005815733085,0.0015725436179981633,0.004694674012855824,0.001767676767676767,0.007242883379247007,0.002146464646464646,0.003833792470156102
F2-to,0.00289447505356596,0.006910009182736448,0.005498163452708902,0.0014692378328741958,0.00047061524334251554,0.0022038567493112946,0.0008149678604224044
F1-call,0.0026706458524640327,0.0027892561983471065,0.0004476584022038565,-0.00016069788797061507,0.007357667584940306,0.0041207529843893444,0.0014692378328741951
F1-slabs,0.002609427609427607,0.0032598714416896195,0.0028466483011937538,0.0011937557392102836,0.0038682277318640938,0.001538108356290173,0.00294995408631772
F1-bob,0.002565426997245178,0.0016873278236914594,-0.0010674931129476574,0.002238292011019284,0.006921487603305781,0.002444903581267217,0.0031680440771349834
F2-with,0.002454468931741657,0.0039715335169880584,0.004178145087235994,0.00043617998163452657,0.00045913682277318586,0.004499540863177221,0.0011822773186409541
F1-frog,0.002368380777471685,0.00043617998163452635,-0.0003902662993572081,0.00018365472910927442,0.006462350780532595,0.002846648301193755,0.004671717171717167
F2-snack,0.0022956841138659302,0.00132001836547291,-0.0025482093663911826,0.0006198347107438007,0.007323232323232319,0.002031680440771349,0.005027548209366388
F1-ask,0.0022612488521579414,0.0034664830119375545,0.008310376492194666,2.29568411386593e-05,0.00045913682277318586,-9.18273645546372e-05,0.0014003673094582182
