feature,mean,iteration_1,iteration_2,iteration_3,iteration_4,iteration_5,iteration_6
F1-also,0.08773829987623227,0.08418166138386476,0.0818485286878856,0.0878717423105539,0.07395185736385375,0.09804428834850763,0.10053172116272802
F2-ask,0.0824081416765944,0.0959859133058137,0.09459897248793532,0.07915040282090169,0.07565975570639204,0.07714879410797722,0.0719050116305465
F1-call,0.07045034173183758,0.07261430692394562,0.0596440773159725,0.07433819816818889,0.06114079854479748,0.08454005302727037,0.07042461641085057
F2-bob,0.060792642012081656,0.051262236394129114,0.07631172416072544,0.06305295763806039,0.0734947204500661,0.054730597619768714,0.0459036158097402
F2-and,0.05480101292020226,0.05309066967801183,0.04802358433440974,0.05920737443973049,0.05126884176323261,0.053162279860837096,0.06405332744499176
F1-bob,0.035229943286738015,0.034655758528535516,0.02797321095449275,0.028524407520596717,0.05933881265113865,0.03559583473346676,0.025291635332197717
F2-bags,0.02555322566632771,0.01985980004197617,0.02429737680266711,0.030857054886848284,0.035980949231202514,0.015618103730277005,0.02670606930499517
F2-snack,0.024786992792729085,0.035443065155444174,0.017674930114898207,0.017575393169337705,0.03465156622490574,0.018094995331265833,0.025282006760522825
F1-small,0.023430018315442804,0.03043525111770553,0.016219560196107843,0.031327012755344656,0.01957014460390505,0.02368987107108707,0.019338270148506677
F1-frog,0.02331376692257205,0.024150536160227283,0.011927157963770096,0.021151998170099624,0.023718262344168198,0.03325277399834112,0.025681872898826005
F2-slabs,0.019003361008821346,0.02159092976888663,0.027919092905604098,0.02373835924602786,0.01582623890568172,0.013592146919605388,0.0113533983071224
F2-blue,0.013739031267215438,0.011260278953354736,0.018648363091538646,0.013009917157149657,0.011231691287307848,0.014964217042602788,0.013319720071338957
F2-to,0.01350671497957843,0.012239351732164613,0.019255702982979236,0.008719406401481803,0.008961019199394587,0.02175069425651039,0.010114115304939952
F1-bags,0.013198002277393381,0.01278310522282423,0.012202917063786527,0.013203262348931712,0.01100165073445666,0.014724151706858686,0.015272926587502463
F1-maybe,0.011988875121535512,0.013311980871802093,0.008368092775538691,0.018468298203419744,0.006956042516872017,0.010748141449137277,0.014080694912443233
F2-scoop,0.011616553760290098,0.013693855502226559,0.017985799207927294,0.009787606559330109,0.010126646106526615,0.00706774314373555,0.011037672041994465
F2-spoons,0.011112586194835043,0.008803102238918765,0.014031466920844454,0.011816821482644981,0.00696430433008335,0.004706928447419508,0.020352893749099193
F1-slabs,0.010762171506807664,0.009259232865662367,0.013356222069148344,0.008838912583934315,0.013800847500827818,0.011358781270615471,0.007959032750657668
F1-and,0.01055994599051214,0.009288405177930661,0.005987826077466632,0.009848298650274577,0.00900028867830463,0.012235655831341914,0.01699920152775443
F2-go,0.009526933281750659,0.015611341139190984,0.006387127495213336,0.007750433200101544,0.008085769270488553,0.009835636877665449,0.009491291707844084
F2-small,0.009119002304912712,0.005038096582645525,0.016851341761432652,0.0064442722665083215,0.012809677583686585,0.006798845945808359,0.006771779689394829
F2-fresh,0.009032460515822903,0.010062543908505492,0.00735844450521645,0.006151927621998699,0.00963094603871656,0.005066649274528495,0.015924251745971722
F2-three,0.007812154836797587,0.007282587339259839,0.011789752061616606,0.003624551704570092,0.0058155354257755235,0.0072733893562423714,0.01108711313332109
F2-from,0.007692411451998004,0.0069157778351515336,0.012155431499275457,0.007108074880020004,0.009179067288658143,0.005875755713110862,0.004920361495772027
F2-plastic,0.007516212756577122,0.00955748404244898,0.006831860801183741,0.006939331474958175,0.004968823596441953,0.010045949039368146,0.006753827585061739
F2-stella,0.007350909234083898,0.0068956446178702275,0.006247138587515701,0.0058556173954332534,0.010620160681444175,0.007408360380963477,0.00707853374127656
F2-frog,0.007310599020702701,0.005916521245813709,0.008438160219192302,0.007366157601484076,0.011409218126484237,0.004265055416029109,0.0064684815152127725
F2-snow,0.006699397135541134,0.009148041333441052,0.004663790043938882,0.006527789302885182,0.003961753667117161,0.007921899245916393,0.007973109219948139
F2-her,0.0064113353678026215,0.007337765270492422,0.006097860454497754,0.00366052355192352,0.00796224102385564,0.008528958279499479,0.004880663626546922
F2-maybe,0.006390319226257539,0.005388050224406152,0.006827487507154249,0.007946048682216468,0.007146446391392893,0.007187862710930454,0.003846019841445014
F2-brother,0.006374959506334037,0.003961018389223383,0.007017564559883246,0.008900591755776982,0.007440738864633579,0.0056929691434881805,0.00523687432499885
F2-with,0.006333157090067308,0.009915473520751044,0.0047403066453352415,0.0032234639394974527,0.006060036399355164,0.005350189925922556,0.008709472109542387
F1-snake,0.006245625254730258,0.009632891063767303,0.006602180125311661,0.003723977288257202,0.003948906798410895,0.007080643291101291,0.006485152961533191
F2-can,0.006017748905976864,0.0049749006453766505,0.007380342710451124,0.006602238958383358,0.0037140720922996945,0.008012353661325305,0.0054225853680250485
F1-toy,0.005723993663391186,0.00561334050960962,0.0056319981371807225,0.00687327409960582,0.004487037688206653,0.005036350952501334,0.006701960593242968
F2-of,0.005681125388810164,0.0046075999361979625,0.0037446629099462244,0.004702834617286502,0.006192837333830664,0.006395892662343438,0.008442924873256196
F1-snack,0.005621359195575502,0.004162984435855572,0.010536728434461073,0.004417103390118315,0.0034785119129009372,0.0035210110959936042,0.007611815904123508
F2-red,0.005545584184304838,0.007019749798111768,0.006104254561328072,0.006633738923331062,0.005062824099192567,0.004586199435288965,0.0038667382885765977
F2-call,0.005504358764923237,0.003474605271957411,0.006107536160668757,0.009375574762126004,0.004499174137866438,0.0037883353907379367,0.005780926866182878
F1-her,0.0054439696490480435,0.006411884167737189,0.004948320423738946,0.009126532474212008,0.00489749446199561,0.0034253747089676473,0.0038542116576368622
F2-at,0.005346025224358238,0.004737886617478296,0.005896476326627011,0.0033138488381050596,0.006304166580685175,0.004003512160325423,0.007820260822928462
F1-ask,0.005256779949481739,0.0035086200246086177,0.004195713878963989,0.005327906815725488,0.00449884019124921,0.006055261820472986,0.007954336965870145
F2-toy,0.005223795253281738,0.008010833754800792,0.003028122239408744,0.003681482861838363,0.0018319243054657364,0.007423593070859253,0.0073668152873175375
F2-station,0.005150522365994411,0.005566810363623881,0.0029334257990605572,0.004357722857607085,0.00790608399316944,0.003212731507750421,0.0069263596747550825
F2-six,0.005125970756665236,0.004870869714930675,0.0044375562919728925,0.004036994105578893,0.005326979806826492,0.004755261541770486,0.007328163078911976
